topic,question,bestanswer
31_1,What is throat cancer?,MARCO_8046971
31_2,Is throat cancer treatable?,MARCO_3581481
31_3,Tell me about lung cancer.,CAR_dedad08c40164cee79464fdeb8da5e3e46b402ea
31_4,What are lung cancer's symptoms?,MARCO_6661771
31_5,Can lung cancer spread to the throat?,MARCO_2509296
31_6,What causes throat cancer?,MARCO_2231504
31_7,What is the first sign of throat cancer?,MARCO_7017761
31_8,Is throat cancer the same as esophageal cancer?,MARCO_5295408
31_9,What's the difference in throat cancer and esophageal cancer's symptoms?,MARCO_7559909
32_1,What are the different types of sharks?,CAR_9f511bd0cba8a643a69264ccc42d4d3f50ec2d21
32_10,What do Mako sharks eat?,MARCO_6703005
32_11,How do Mako sharks compare with Tiger sharks for being dangerous?,MARCO_7523018
32_2,"Are sharks endangered? If so, which species?",CAR_8159d5a26f607cc5069b6ac31c123b5113f1921c
32_3,Tell me about tiger sharks.,MARCO_2861210
32_4,What is the largest shark ever to have lived on Earth?,MARCO_1102873
32_5,What's the biggest shark ever caught?,MARCO_494547
32_6,What about for great whites?,MARCO_2174108
32_7,Tell me about Mako sharks.,CAR_2e3aee7e462737cf2212a1518690df2739ec33a7
32_8,What are Mako shark adaptations?,MARCO_2820324
32_9,Where do Mako sharks live?,CAR_a91b0960b051a4372d86dd6efe245aa80940fe8b
33_1,Tell me about the Neverending Story film.,MARCO_5954177
33_2,What is the Neverending Story film about?,MARCO_3843635
33_3,How was the Neverending Story film received?,CAR_161e2edabf7e5d5394c93756067f1a38a6ce29c3
33_4,Did the Neverending Story film win any awards?,CAR_3bce4220839bd4688f66f2c393abe864a8876171
33_5,Was the Neverending Story film a book first?,CAR_309a01bab60a38f6319b8705dabc3965f4f7ec10
33_6,Who was the author and when was the Neverending Story book published?,MARCO_7273403
33_7,What are the main themes of the Neverending Story film?,CAR_4a3dd3779745688d8c51d6797910f019643bbdba
33_8,Who are the main characters of the the Neverending Story film?,CAR_b9348816e6e63881858b3f42704e04204e4e5611
34_1,Tell me about the Bronze Age collapse.,CAR_8fca165b9f59a4352f14f39e05389f6cbf62998f
34_2,What is the evidence for the Bronze Age collapse?,CAR_50a0128560e0befcbd25a9a6b2b14fa94dd18abc
34_3,What are some of the possible causes of the Bronze Age collapse?,CAR_cded43587fd0308695dad1d0d9a1c1d4a57528bf
34_4,Who were the Sea Peoples during the Bronze Age collapse?,CAR_15455b6dae847f52e816218c50dc823ca937585d
34_5,What was the role of the Sea Peoples in the Bronze Age collapse?,CAR_15455b6dae847f52e816218c50dc823ca937585d
34_6,What other factors led to a breakdown of trade during the Bronze Age collapse?,CAR_cded43587fd0308695dad1d0d9a1c1d4a57528bf
